Name,genre,platforms,rating
Read Dead Redemption 2,Action,"pc,xbox,playstation",9
Resident Evil 6,Horror,"pc,xbox,playstation",9
Resident Evil 7,Horror,"pc,xbox,playstation",9
Ground Branch,Action,pc,9
Cyberpunk 2077,RPG,"pc,xbox,playstation",9
Hitman 3,strategy,"pc,xbox,playstation",9
Starfield,rpg,pc,9
Assassins creed mirage,adventure,pc,9
Assassins creed unity,adventure,pc,9
